Date/Time,PANEL0:Generator Produced DC Electric Energy [J](Hourly),PANEL1:Generator Produced DC Electric Energy [J](Hourly),PANEL2:Generator Produced DC Electric Energy [J](Hourly),PANEL3:Generator Produced DC Electric Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0 
 01/01  07:00:00,0.0,0.0,0.0,0.0 
 01/01  08:00:00,1574156.85821683,4395056.89838777,3166555.76249563,2448688.44611507 
 01/01  09:00:00,5706168.81120486,34825367.0132203,21219773.6751063,8876262.59520756 
 01/01  10:00:00,8809412.35929085,102813770.041391,49285071.6129778,13703530.3366747 
 01/01  11:00:00,13292899.6369963,101892345.151813,37372103.77769,19576574.2815048 
 01/01  12:00:00,26419697.0271834,153804739.691931,34087599.7746678,16234520.7743216 
 01/01  13:00:00,43916581.7107121,155712129.32478,14752131.8600265,13726528.8013417 
 01/01  14:00:00,54420843.3107404,133384272.213232,7817896.88123485,12161172.9263653 
 01/01  15:00:00,50449373.8362429,90911415.2836878,6004381.80463511,9340149.47387683 
 01/01  16:00:00,28547628.7362061,38198622.5411997,3095562.99474994,4815320.21405547 
 01/01  17:00:00,2352850.05324152,2488002.79649318,298197.638033945,463862.992497247 
 01/01  18:00:00,0.0,0.0,0.0,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0 
 01/01  21:00:00,0.0,0.0,0.0,0.0 
 01/01  22:00:00,0.0,0.0,0.0,0.0 
 01/01  23:00:00,0.0,0.0,0.0,0.0 
 01/01  24:00:00,0.0,0.0,0.0,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0 
 01/02  04:00:00,0.0,0.0,0.0,0.0 
 01/02  05:00:00,0.0,0.0,0.0,0.0 
